day,count
2020-01-27,19.5
2020-01-29,23.64
2020-01-30,17.81
2020-01-31,40.5
2020-02-03,15.0
2020-02-04,6.0
2020-02-05,9.0
2020-02-06,-907.2200000000003
2020-02-07,476.05
2020-02-10,216.13
2020-02-12,41.9
2020-02-13,2.5
2020-02-14,23.5
2020-02-17,3.0
2020-02-18,-13.78
2020-02-19,7.5
2020-02-20,12.0
2020-02-26,84.63000000000001
